ID_numeric,ID,Provider,River,Station,Country,lat,lon,DrainArPro,DrainArLDD,EnoughQdata,Val_Start,Val_End,Cal_Start,Cal_End
2,G0002,GRDC_6142120,MORAVA,STRAZNICE,CZ,48.925,17.2917,9145,9050.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
3,G0003,GRDC_6142100,MORAVA,MORAVICANY,CZ,49.775,16.975,1561,1526.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
4,G0004,GRDC_6142300,BECVA,TEPLICE,CZ,49.525,17.7417,1275,1274.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
5,G0005,GRDC_6142170,OSLAVA,NESMER,CZ,49.325,16.025,479,505.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
6,G0006,GRDC_6142190,MORAVSKA SAZAVA,LUPENE,CZ,49.8583,16.825,445,438.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
8,G0008,GRDC_6142101,MORAVA,RASKOV,CZ,50.0417,16.9083,350,346.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
12,G0012,Austria_208629,Thaya,Raabs,AT,48.8417,15.4917,1406,1441.0,1.0,01/01/2003,31/12/2010,01/01/2011,31/12/2018
15,G0015,Austria_207290,Thaya,Bernhardsthal,AT,48.7083,16.8917,12623,12633.0,1.0,01/01/2003,31/12/2010,01/01/2011,31/12/2018
16,G0016,Austria_207308,March,Hohenau,AT,48.6083,16.9417,24138,24061.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
18,G0018,Austria_207324,March,Angern,AT,48.375,16.8417,25624,25534.0,1.0,01/01/2005,31/12/2012,01/01/2013,31/12/2020
20,G0020,CZ360000_HYDRO,Morava,Hranicky ,CZ,49.71791,16.79632,426,423.6,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
22,G0022,CZ366000_HYDRO,Morava,Velka Bystrice ,CZ,49.59441,17.34647,231,247.32,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
23,G0023,CZ367000_HYDRO,Morava,Olomouc Nove Sady ,CZ,49.57725,17.26086,3324,3324.28,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
24,G0024,CZ379000_HYDRO,Morava,Vsetin ,CZ,49.44435,17.97015,506,737.0,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
26,G0026,CZ412000_HYDRO,Morava,Zlin ,CZ,49.23084,17.67239,312,303.6,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
27,G0027,CZ413000_HYDRO,Morava,Spytihnev ,CZ,49.14,17.5082,7890,7858.0,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
28,G0028,CZ418000_HYDRO,Morava,Uhersky Brod ,CZ,49.0162,17.64375,401,404.2,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
30,G0030,CZ426000_HYDRO,Morava,Lanzhot ,CZ,48.6873,16.9884,9722,10441.0,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
36,G0036,CZ442000_HYDRO,Morava,Dalecin ,CZ,49.59511,16.24502,367,370.2,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
40,G0040,CZ403000_HYDRO,Morava,Kromeriz,CZ,49.293,17.407,7013,7004.23,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
41,G0041,CZ462000_HYDRO,Morava,Zidlochovice ,CZ,49.041,16.625,3939,3960.66,1.0,01/01/2007,31/12/2014,01/01/2015,31/12/2022
